Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
U_12hrsN1_Data1	(1.0, 21.993072629134097)	(2.0, 11.587493244511165)	(3.0, 7.144037003556121)	(4.0, 4.8023511877028895)	(5.0, 3.4808419482653465)	(6.0, 2.7302783767466146)	(7.0, 2.1670602502963323)	(8.0, 1.8140949278387746)	(9.0, 1.559129123363664)	('>10', 17.953680045051858)	('>50', 5.7530976897975235)	('>100', 11.45520818758041)	('>500', 3.6070838809972896)	('>1k', 3.4749106249293384)	('>5k', 0.4178905489849288)	('>10k+', 0.05977033124364901)
U_12hrsN1_Data2	(1.0, 22.68600074084482)	(2.0, 11.521078245951553)	(3.0, 7.138605996441201)	(4.0, 5.011109385364301)	(5.0, 3.674099439298074)	(6.0, 2.824076450846481)	(7.0, 2.2784193539613056)	(8.0, 1.8466879594187486)	(9.0, 1.5878672459970038)	('>10', 17.01151758369568)	('>50', 5.2992494818699925)	('>100', 11.450484954245951)	('>500', 3.8937832242555612)	('>1k', 3.3696912904123195)	('>5k', 0.25530455499304155)	('>10k+', 0.1520240924040217)
U_12hrsN2_Data1	(1.0, 22.10672587009671)	(2.0, 11.479704478313414)	(3.0, 7.028643032723522)	(4.0, 4.863995038548654)	(5.0, 3.5207556799643527)	(6.0, 2.676862318703998)	(7.0, 2.2128563537294297)	(8.0, 1.85081098119215)	(9.0, 1.5551524208726317)	('>10', 17.974822068510477)	('>50', 5.712355672678586)	('>100', 11.587761906912252)	('>500', 3.667305105371859)	('>1k', 3.412329882197809)	('>5k', 0.34991919018420176)	('>10k+', 0.0)
U_12hrsN2_Data2	(1.0, 22.34087965561403)	(2.0, 11.375416294675018)	(3.0, 7.293509942794831)	(4.0, 4.984149066185398)	(5.0, 3.669524672604449)	(6.0, 2.705631775002831)	(7.0, 2.1986027661155463)	(8.0, 1.8488648444581528)	(9.0, 1.5917678696024211)	('>10', 17.300367633619665)	('>50', 5.403888697527209)	('>100', 11.591464963625512)	('>500', 3.935427644491324)	('>1k', 3.3961335501088494)	('>5k', 0.2210672510118638)	('>10k+', 0.1433033725628363)
U_24hrsN1_Data1	(1.0, 24.24692109864248)	(2.0, 12.140639657684806)	(3.0, 7.492202994961527)	(4.0, 4.969034925580328)	(5.0, 3.5883629088541342)	(6.0, 2.8334239203637908)	(7.0, 2.2072802749566596)	(8.0, 1.9348226381053903)	(9.0, 1.642373391676138)	('>10', 17.979577698743526)	('>50', 5.106850335775405)	('>100', 10.061222094744116)	('>500', 2.9143485072763964)	('>1k', 2.670728733366574)	('>5k', 0.21221081926871108)	('>10k+', 0.0)
U_24hrsN1_Data2	(1.0, 24.655670208212943)	(2.0, 12.484089279776404)	(3.0, 7.855140662294358)	(4.0, 5.169581953547792)	(5.0, 3.819708069445312)	(6.0, 2.9385488971176073)	(7.0, 2.2750145468297127)	(8.0, 1.8996936669247702)	(9.0, 1.6331445948114334)	('>10', 16.754357884181463)	('>50', 5.017912008260496)	('>100', 9.713704439234554)	('>500', 3.0800079693841647)	('>1k', 2.379286937749961)	('>5k', 0.24488468290732715)	('>10k+', 0.07925419932154214)
U_24hrsN2_Data1	(1.0, 23.173922611164695)	(2.0, 12.325679317184946)	(3.0, 7.65710971908711)	(4.0, 5.035078344769475)	(5.0, 3.737342284091288)	(6.0, 2.8105176717933116)	(7.0, 2.314908987931653)	(8.0, 1.9365256581098216)	(9.0, 1.6191600246888402)	('>10', 18.367676793254077)	('>50', 5.261840270315905)	('>100', 10.178444491157894)	('>500', 3.0465989721393814)	('>1k', 2.3635815274815477)	('>5k', 0.1716133268299605)	('>10k+', 0.0)
U_24hrsN2_Data2	(1.0, 24.478121123481777)	(2.0, 12.471623919134863)	(3.0, 7.984994846181381)	(4.0, 5.331836671440979)	(5.0, 3.869946544222987)	(6.0, 2.9754026573024506)	(7.0, 2.2760804879721985)	(8.0, 1.7903168958109155)	(9.0, 1.6432296357442044)	('>10', 16.90696355085251)	('>50', 4.910969968030965)	('>100', 9.839562403316682)	('>500', 3.040617604815024)	('>1k', 2.284461630044307)	('>5k', 0.12456676303768326)	('>10k+', 0.07130529861100302)
U_4hrsN1_Data1	(1.0, 24.955736134268975)	(2.0, 12.92119127101816)	(3.0, 7.699004966905868)	(4.0, 5.107342277546222)	(5.0, 3.666680248929835)	(6.0, 2.7764829740538124)	(7.0, 2.293647659297221)	(8.0, 1.7849355455829732)	(9.0, 1.5963912647926866)	('>10', 16.403986559682423)	('>50', 4.75315100413771)	('>100', 9.573454236803638)	('>500', 3.043384319445568)	('>1k', 3.0130485152391135)	('>5k', 0.3425346425857993)	('>10k+', 0.06902837970993254)
U_4hrsN1_Data2	(1.0, 25.548811377971237)	(2.0, 13.254921079343434)	(3.0, 8.073652091622739)	(4.0, 5.37248791558319)	(5.0, 3.9094237858456498)	(6.0, 2.9638767464641105)	(7.0, 2.284940688254656)	(8.0, 1.7530493047025915)	(9.0, 1.4802596807151536)	('>10', 15.107654940401558)	('>50', 4.379548496101022)	('>100', 9.437578306379505)	('>500', 3.0697644069805072)	('>1k', 2.8981967764325764)	('>5k', 0.37426852111355047)	('>10k+', 0.09156588208856845)
U_4hrsN2_Data1	(1.0, 7.46194822908179)	(2.0, 4.350475070496034)	(3.0, 3.909474762885963)	(4.0, 3.5824152899957453)	(5.0, 2.9978348588746333)	(6.0, 2.5109884815943992)	(7.0, 2.0693632004355647)	(8.0, 1.7111780229748847)	(9.0, 1.4682554682609015)	('>10', 19.33033987625354)	('>50', 8.408908248616225)	('>100', 18.93824798900354)	('>500', 7.697421494575931)	('>1k', 11.735984227973976)	('>5k', 2.5772643495382055)	('>10k+', 1.2499004294386737)
U_4hrsN2_Data2	(1.0, 8.92923074154969)	(2.0, 3.358140108589068)	(3.0, 3.0123117740718595)	(4.0, 2.6320782728558005)	(5.0, 2.3475803890774913)	(6.0, 1.976150108739239)	(7.0, 1.6622216463263604)	(8.0, 1.4169649512315914)	(9.0, 1.1678386081197178)	('>10', 17.8152973051988)	('>50', 8.391752158231457)	('>100', 21.279240380430064)	('>500', 8.872628588413699)	('>1k', 13.660732046493932)	('>5k', 2.5754357641090535)	('>10k+', 0.9023971565621889)
U_72hrsN1_Data1	(1.0, 3.4663329230081565)	(2.0, 0.8817570392234112)	(3.0, 0.7250383586693354)	(4.0, 0.7774540027841259)	(5.0, 0.8388404395658121)	(6.0, 0.9315848803994267)	(7.0, 1.023455088938159)	(8.0, 1.0961919669256348)	(9.0, 1.0792152988698662)	('>10', 17.857376771139936)	('>50', 5.226961106761221)	('>100', 15.241310067306621)	('>500', 7.5696314290469875)	('>1k', 20.42540652888152)	('>5k', 8.866830066869623)	('>10k+', 13.992614031610232)
U_72hrsN1_Data2	(1.0, 5.358966573007941)	(2.0, 0.9387696153026167)	(3.0, 0.75092137635464)	(4.0, 0.7111243390836695)	(5.0, 0.7318824582732736)	(6.0, 0.8082638034212312)	(7.0, 0.8292282413944532)	(8.0, 0.8537313573005869)	(9.0, 0.9017934247505284)	('>10', 13.579044076349708)	('>50', 3.902063125493089)	('>100', 12.19258322899885)	('>500', 7.244045906778167)	('>1k', 24.293202329326903)	('>5k', 12.154042458563069)	('>10k+', 14.750337685601286)
U_72hrsN2_Data1	(1.0, 24.31635095670496)	(2.0, 12.44826620558577)	(3.0, 7.688947445506214)	(4.0, 5.168451341777196)	(5.0, 3.6531038269093563)	(6.0, 2.716963510281559)	(7.0, 2.112384945631912)	(8.0, 1.7998022947712269)	(9.0, 1.555749952515938)	('>10', 16.429957800852367)	('>50', 4.8334976219448365)	('>100', 9.93247048688238)	('>500', 3.4457038379125815)	('>1k', 3.467950655885197)	('>5k', 0.36033589525018844)	('>10k+', 0.07006322158829319)
U_72hrsN2_Data2	(1.0, 26.749922285194895)	(2.0, 13.016745485393749)	(3.0, 8.04874354949171)	(4.0, 5.290433257671821)	(5.0, 3.760794928178411)	(6.0, 2.6832549455589527)	(7.0, 2.164061020906235)	(8.0, 1.6821378254864787)	(9.0, 1.450047999335487)	('>10', 14.395832198363658)	('>50', 4.313734651613279)	('>100', 9.818131188864278)	('>500', 3.2247752541066697)	('>1k', 2.9284171268491237)	('>5k', 0.38925625411418563)	('>10k+', 0.08371202887096299)
