Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
U_24hrsN1_Data1	(14.0, 2.0)	(15.0, 35.0)	(16.0, 95.0)	(17.0, 219.0)	(18.0, 342.0)	(19.0, 584.0)	(20.0, 959.0)	(21.0, 1703.0)	(22.0, 3317.0)	(23.0, 6562.0)	(24.0, 12639.0)	(25.0, 23875.0)	(26.0, 39806.0)	(27.0, 64407.0)	(28.0, 94467.0)	(29.0, 134340.0)	(30.0, 178695.0)	(31.0, 239377.0)	(32.0, 315376.0)	(33.0, 453563.0)	(34.0, 732439.0)	(35.0, 2192797.0)	(36.0, 13298321.0)	(37.0, 713597.0)			
U_24hrsN1_Data2	(11.0, 2.0)	(12.0, 39.0)	(13.0, 178.0)	(14.0, 462.0)	(15.0, 857.0)	(16.0, 1420.0)	(17.0, 2269.0)	(18.0, 3212.0)	(19.0, 5124.0)	(20.0, 8498.0)	(21.0, 14035.0)	(22.0, 20958.0)	(23.0, 30222.0)	(24.0, 39242.0)	(25.0, 50950.0)	(26.0, 63260.0)	(27.0, 80110.0)	(28.0, 99354.0)	(29.0, 127858.0)	(30.0, 163094.0)	(31.0, 222128.0)	(32.0, 313111.0)	(33.0, 518278.0)	(34.0, 1071090.0)	(35.0, 3609920.0)	(36.0, 11569309.0)	(37.0, 492537.0)
U_24hrsN2_Data1	(14.0, 5.0)	(15.0, 35.0)	(16.0, 125.0)	(17.0, 277.0)	(18.0, 487.0)	(19.0, 705.0)	(20.0, 1130.0)	(21.0, 2018.0)	(22.0, 3811.0)	(23.0, 7476.0)	(24.0, 14016.0)	(25.0, 25957.0)	(26.0, 44284.0)	(27.0, 71167.0)	(28.0, 104731.0)	(29.0, 150041.0)	(30.0, 201009.0)	(31.0, 266080.0)	(32.0, 347932.0)	(33.0, 489729.0)	(34.0, 766018.0)	(35.0, 2236956.0)	(36.0, 13837793.0)	(37.0, 612827.0)			
U_24hrsN2_Data2	(11.0, 2.0)	(12.0, 27.0)	(13.0, 189.0)	(14.0, 580.0)	(15.0, 1324.0)	(16.0, 2163.0)	(17.0, 3267.0)	(18.0, 4658.0)	(19.0, 6950.0)	(20.0, 10837.0)	(21.0, 17812.0)	(22.0, 27395.0)	(23.0, 39773.0)	(24.0, 52748.0)	(25.0, 70167.0)	(26.0, 87179.0)	(27.0, 110417.0)	(28.0, 136274.0)	(29.0, 173313.0)	(30.0, 218375.0)	(31.0, 291786.0)	(32.0, 407238.0)	(33.0, 676160.0)	(34.0, 1417185.0)	(35.0, 4508569.0)	(36.0, 10592952.0)	(37.0, 327269.0)
U_4hrsN1_Data1	(14.0, 7.0)	(15.0, 42.0)	(16.0, 133.0)	(17.0, 235.0)	(18.0, 422.0)	(19.0, 645.0)	(20.0, 1026.0)	(21.0, 2041.0)	(22.0, 3858.0)	(23.0, 7442.0)	(24.0, 14379.0)	(25.0, 26585.0)	(26.0, 44251.0)	(27.0, 70751.0)	(28.0, 103885.0)	(29.0, 145928.0)	(30.0, 191604.0)	(31.0, 254257.0)	(32.0, 331618.0)	(33.0, 466784.0)	(34.0, 732375.0)	(35.0, 2124114.0)	(36.0, 13694376.0)	(37.0, 748483.0)			
U_4hrsN1_Data2	(11.0, 1.0)	(12.0, 22.0)	(13.0, 168.0)	(14.0, 440.0)	(15.0, 1014.0)	(16.0, 1690.0)	(17.0, 2447.0)	(18.0, 3564.0)	(19.0, 5618.0)	(20.0, 8819.0)	(21.0, 14823.0)	(22.0, 22604.0)	(23.0, 32860.0)	(24.0, 42934.0)	(25.0, 55557.0)	(26.0, 67288.0)	(27.0, 84032.0)	(28.0, 103827.0)	(29.0, 132612.0)	(30.0, 169660.0)	(31.0, 227292.0)	(32.0, 317320.0)	(33.0, 516767.0)	(34.0, 1051953.0)	(35.0, 3570224.0)	(36.0, 12000511.0)	(37.0, 531194.0)
U_4hrsN2_Data1	(13.0, 2.0)	(14.0, 55.0)	(15.0, 398.0)	(16.0, 1305.0)	(17.0, 1970.0)	(18.0, 2667.0)	(19.0, 4261.0)	(20.0, 7420.0)	(21.0, 12931.0)	(22.0, 22002.0)	(23.0, 36040.0)	(24.0, 53391.0)	(25.0, 75247.0)	(26.0, 97504.0)	(27.0, 122060.0)	(28.0, 145603.0)	(29.0, 180456.0)	(30.0, 216131.0)	(31.0, 270748.0)	(32.0, 336862.0)	(33.0, 454550.0)	(34.0, 665230.0)	(35.0, 1432048.0)	(36.0, 10985901.0)	(37.0, 2246918.0)		
U_4hrsN2_Data2	(11.0, 8.0)	(12.0, 109.0)	(13.0, 759.0)	(14.0, 2137.0)	(15.0, 4567.0)	(16.0, 7368.0)	(17.0, 10550.0)	(18.0, 13971.0)	(19.0, 19700.0)	(20.0, 27780.0)	(21.0, 38643.0)	(22.0, 50239.0)	(23.0, 64412.0)	(24.0, 77935.0)	(25.0, 95085.0)	(26.0, 109945.0)	(27.0, 131501.0)	(28.0, 151835.0)	(29.0, 182215.0)	(30.0, 216838.0)	(31.0, 274053.0)	(32.0, 356972.0)	(33.0, 538057.0)	(34.0, 966744.0)	(35.0, 2681333.0)	(36.0, 10544493.0)	(37.0, 804451.0)
U_72hrsN1_Data1	(13.0, 2.0)	(14.0, 47.0)	(15.0, 303.0)	(16.0, 775.0)	(17.0, 1438.0)	(18.0, 2301.0)	(19.0, 3609.0)	(20.0, 5916.0)	(21.0, 9870.0)	(22.0, 16199.0)	(23.0, 27571.0)	(24.0, 42885.0)	(25.0, 64757.0)	(26.0, 88716.0)	(27.0, 119033.0)	(28.0, 148372.0)	(29.0, 191066.0)	(30.0, 240983.0)	(31.0, 315102.0)	(32.0, 417648.0)	(33.0, 589480.0)	(34.0, 889741.0)	(35.0, 1974263.0)	(36.0, 16088341.0)	(37.0, 2706556.0)		
U_72hrsN1_Data2	(11.0, 6.0)	(12.0, 122.0)	(13.0, 745.0)	(14.0, 1887.0)	(15.0, 3939.0)	(16.0, 6188.0)	(17.0, 8763.0)	(18.0, 12051.0)	(19.0, 17253.0)	(20.0, 24369.0)	(21.0, 34747.0)	(22.0, 45919.0)	(23.0, 58750.0)	(24.0, 70357.0)	(25.0, 86619.0)	(26.0, 101911.0)	(27.0, 125093.0)	(28.0, 149949.0)	(29.0, 187178.0)	(30.0, 233458.0)	(31.0, 313604.0)	(32.0, 446439.0)	(33.0, 762558.0)	(34.0, 1591223.0)	(35.0, 4956200.0)	(36.0, 14071543.0)	(37.0, 634103.0)
U_72hrsN2_Data1	(14.0, 1.0)	(15.0, 39.0)	(16.0, 119.0)	(17.0, 224.0)	(18.0, 418.0)	(19.0, 672.0)	(20.0, 1141.0)	(21.0, 1991.0)	(22.0, 3851.0)	(23.0, 7490.0)	(24.0, 13891.0)	(25.0, 26036.0)	(26.0, 44078.0)	(27.0, 69969.0)	(28.0, 101903.0)	(29.0, 143563.0)	(30.0, 189516.0)	(31.0, 251587.0)	(32.0, 329866.0)	(33.0, 469866.0)	(34.0, 748791.0)	(35.0, 2236959.0)	(36.0, 14062358.0)	(37.0, 730958.0)			
U_72hrsN2_Data2	(12.0, 51.0)	(13.0, 243.0)	(14.0, 530.0)	(15.0, 1047.0)	(16.0, 1974.0)	(17.0, 2899.0)	(18.0, 4421.0)	(19.0, 6826.0)	(20.0, 11159.0)	(21.0, 18190.0)	(22.0, 27803.0)	(23.0, 40258.0)	(24.0, 53121.0)	(25.0, 69145.0)	(26.0, 85873.0)	(27.0, 107758.0)	(28.0, 132929.0)	(29.0, 169278.0)	(30.0, 216860.0)	(31.0, 294319.0)	(32.0, 423444.0)	(33.0, 733846.0)	(34.0, 1588806.0)	(35.0, 4889350.0)	(36.0, 10273813.0)	(37.0, 281344.0)	
