Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
I_72hrsS3_Data2	(100, 14056.0)	(102, 16634.0)	(104, 19465.0)	(106, 20547.0)	(108, 19993.0)	(110, 19797.0)	(112, 22268.0)	(114, 26137.0)	(116, 28115.0)	(118, 27275.0)	(120, 27783.0)	(122, 30050.0)	(124, 34570.0)	(126, 37498.0)	(128, 37547.0)	(130, 36361.0)	(132, 38058.0)	(134, 43117.0)	(136, 47207.0)	(138, 48907.0)	(140, 46445.0)	(142, 52315.0)	(144, 44735.0)	(146, 0.0)	(148, 17812175.0)
U_12hrsN1_Data1	(100, 3962.0)	(102, 4750.0)	(104, 5460.0)	(106, 5841.0)	(108, 5693.0)	(110, 5918.0)	(112, 6646.0)	(114, 7413.0)	(116, 7919.0)	(118, 8006.0)	(120, 8140.0)	(122, 8711.0)	(124, 9837.0)	(126, 10812.0)	(128, 10606.0)	(130, 10920.0)	(132, 11931.0)	(134, 13104.0)	(136, 14261.0)	(138, 15299.0)	(140, 14596.0)	(142, 16624.0)	(144, 26282.0)	(146, 0.0)	(148, 19980563.0)
U_12hrsN1_Data2	(100, 4266.0)	(102, 5224.0)	(104, 5763.0)	(106, 6232.0)	(108, 6007.0)	(110, 6215.0)	(112, 6981.0)	(114, 7688.0)	(116, 8203.0)	(118, 8325.0)	(120, 8549.0)	(122, 9089.0)	(124, 10159.0)	(126, 11231.0)	(128, 10890.0)	(130, 11244.0)	(132, 12264.0)	(134, 13397.0)	(136, 14602.0)	(138, 15830.0)	(140, 15285.0)	(142, 19624.0)	(144, 30967.0)	(146, 0.0)	(148, 19965259.0)
U_12hrsN2_Data1	(100, 4401.0)	(102, 5115.0)	(104, 5940.0)	(106, 6247.0)	(108, 6088.0)	(110, 6267.0)	(112, 6996.0)	(114, 7936.0)	(116, 8531.0)	(118, 8609.0)	(120, 8536.0)	(122, 9523.0)	(124, 10753.0)	(126, 11805.0)	(128, 11643.0)	(130, 11938.0)	(132, 12651.0)	(134, 14087.0)	(136, 15466.0)	(138, 16273.0)	(140, 15281.0)	(142, 17088.0)	(144, 26253.0)	(146, 0.0)	(148, 19403324.0)
U_12hrsN2_Data2	(100, 4793.0)	(102, 5577.0)	(104, 6215.0)	(106, 6618.0)	(108, 6412.0)	(110, 6626.0)	(112, 7306.0)	(114, 8221.0)	(116, 8890.0)	(118, 8925.0)	(120, 8922.0)	(122, 9867.0)	(124, 11083.0)	(126, 12158.0)	(128, 11972.0)	(130, 12285.0)	(132, 13009.0)	(134, 14402.0)	(136, 15799.0)	(138, 16665.0)	(140, 16087.0)	(142, 20205.0)	(144, 31182.0)	(146, 0.0)	(148, 19387532.0)
U_24hrsN1_Data1	(100, 3737.0)	(102, 4493.0)	(104, 5176.0)	(106, 5371.0)	(108, 5198.0)	(110, 5731.0)	(112, 6328.0)	(114, 6976.0)	(116, 7881.0)	(118, 7582.0)	(120, 7878.0)	(122, 8578.0)	(124, 9573.0)	(126, 10001.0)	(128, 10650.0)	(130, 10947.0)	(132, 11515.0)	(134, 12929.0)	(136, 13797.0)	(138, 14563.0)	(140, 13872.0)	(142, 15802.0)	(144, 24688.0)	(146, 0.0)	(148, 18284251.0)
U_24hrsN1_Data2	(100, 3988.0)	(102, 4813.0)	(104, 5390.0)	(106, 5669.0)	(108, 5444.0)	(110, 5950.0)	(112, 6623.0)	(114, 7217.0)	(116, 8145.0)	(118, 7885.0)	(120, 8197.0)	(122, 8855.0)	(124, 9839.0)	(126, 10394.0)	(128, 10892.0)	(130, 11237.0)	(132, 11907.0)	(134, 13187.0)	(136, 14130.0)	(138, 15024.0)	(140, 14519.0)	(142, 18409.0)	(144, 29342.0)	(146, 0.0)	(148, 18270461.0)
U_24hrsN2_Data1	(100, 3312.0)	(102, 3671.0)	(104, 4368.0)	(106, 4553.0)	(108, 4619.0)	(110, 4891.0)	(112, 5527.0)	(114, 6214.0)	(116, 6720.0)	(118, 6939.0)	(120, 7087.0)	(122, 7779.0)	(124, 9045.0)	(126, 9552.0)	(128, 9880.0)	(130, 10113.0)	(132, 11202.0)	(134, 12641.0)	(136, 13484.0)	(138, 14317.0)	(140, 13716.0)	(142, 16054.0)	(144, 25436.0)	(146, 0.0)	(148, 18973489.0)
U_24hrsN2_Data2	(100, 3556.0)	(102, 4076.0)	(104, 4653.0)	(106, 4839.0)	(108, 4879.0)	(110, 5161.0)	(112, 5779.0)	(114, 6477.0)	(116, 6975.0)	(118, 7222.0)	(120, 7424.0)	(122, 8069.0)	(124, 9312.0)	(126, 9882.0)	(128, 10142.0)	(130, 10413.0)	(132, 11506.0)	(134, 12923.0)	(136, 13811.0)	(138, 14589.0)	(140, 14488.0)	(142, 18530.0)	(144, 29653.0)	(146, 0.0)	(148, 18960250.0)
U_4hrsN1_Data1	(100, 3666.0)	(102, 4287.0)	(104, 5056.0)	(106, 5231.0)	(108, 5243.0)	(110, 5375.0)	(112, 6514.0)	(114, 7101.0)	(116, 7627.0)	(118, 7717.0)	(120, 8131.0)	(122, 9054.0)	(124, 9769.0)	(126, 10786.0)	(128, 10966.0)	(130, 11343.0)	(132, 11947.0)	(134, 13673.0)	(136, 14992.0)	(138, 15597.0)	(140, 15301.0)	(142, 17181.0)	(144, 26082.0)	(146, 0.0)	(148, 18732602.0)
U_4hrsN1_Data2	(100, 3919.0)	(102, 4597.0)	(104, 5307.0)	(106, 5563.0)	(108, 5507.0)	(110, 5626.0)	(112, 6802.0)	(114, 7385.0)	(116, 7952.0)	(118, 7989.0)	(120, 8437.0)	(122, 9384.0)	(124, 10044.0)	(126, 11126.0)	(128, 11211.0)	(130, 11651.0)	(132, 12243.0)	(134, 13992.0)	(136, 15275.0)	(138, 16110.0)	(140, 16065.0)	(142, 19619.0)	(144, 29803.0)	(146, 0.0)	(148, 18719634.0)
U_4hrsN2_Data1	(100, 16962.0)	(102, 19631.0)	(104, 22364.0)	(106, 24420.0)	(108, 24065.0)	(110, 22818.0)	(112, 26359.0)	(114, 30988.0)	(116, 33031.0)	(118, 32789.0)	(120, 32203.0)	(122, 34883.0)	(124, 39909.0)	(126, 43790.0)	(128, 44820.0)	(130, 42949.0)	(132, 44659.0)	(134, 51133.0)	(136, 54909.0)	(138, 57131.0)	(140, 57046.0)	(142, 58063.0)	(144, 40693.0)	(146, 0.0)	(148, 16516085.0)
U_4hrsN2_Data2	(100, 17259.0)	(102, 19917.0)	(104, 22660.0)	(106, 24750.0)	(108, 24358.0)	(110, 23126.0)	(112, 26620.0)	(114, 31380.0)	(116, 33261.0)	(118, 33100.0)	(120, 32382.0)	(122, 35071.0)	(124, 40028.0)	(126, 43949.0)	(128, 44890.0)	(130, 43080.0)	(132, 44733.0)	(134, 50983.0)	(136, 54694.0)	(138, 57174.0)	(140, 56204.0)	(142, 59357.0)	(144, 42446.0)	(146, 0.0)	(148, 16510278.0)
U_72hrsN1_Data1	(100, 12591.0)	(102, 15151.0)	(104, 17876.0)	(106, 18871.0)	(108, 19647.0)	(110, 19739.0)	(112, 23197.0)	(114, 25946.0)	(116, 29110.0)	(118, 29329.0)	(120, 29723.0)	(122, 32414.0)	(124, 37066.0)	(126, 42920.0)	(128, 42617.0)	(130, 42859.0)	(132, 49006.0)	(134, 55128.0)	(136, 59077.0)	(138, 61653.0)	(140, 58415.0)	(142, 62801.0)	(144, 58513.0)	(146, 0.0)	(148, 23101325.0)
U_72hrsN1_Data2	(100, 12926.0)	(102, 15390.0)	(104, 18154.0)	(106, 19141.0)	(108, 19869.0)	(110, 20087.0)	(112, 23386.0)	(114, 26154.0)	(116, 29457.0)	(118, 29506.0)	(120, 29922.0)	(122, 32730.0)	(124, 37272.0)	(126, 43024.0)	(128, 42861.0)	(130, 42955.0)	(132, 49069.0)	(134, 55098.0)	(136, 59253.0)	(138, 62042.0)	(140, 57971.0)	(142, 62427.0)	(144, 44003.0)	(146, 0.0)	(148, 23112277.0)
U_72hrsN2_Data1	(100, 3633.0)	(102, 4193.0)	(104, 4768.0)	(106, 4989.0)	(108, 5130.0)	(110, 5332.0)	(112, 5912.0)	(114, 6778.0)	(116, 7260.0)	(118, 7445.0)	(120, 7692.0)	(122, 8473.0)	(124, 9441.0)	(126, 10251.0)	(128, 10505.0)	(130, 10638.0)	(132, 11595.0)	(134, 12944.0)	(136, 13757.0)	(138, 14331.0)	(140, 14477.0)	(142, 16670.0)	(144, 26127.0)	(146, 0.0)	(148, 19212946.0)
U_72hrsN2_Data2	(100, 3887.0)	(102, 4515.0)	(104, 4994.0)	(106, 5303.0)	(108, 5376.0)	(110, 5583.0)	(112, 6140.0)	(114, 7028.0)	(116, 7517.0)	(118, 7736.0)	(120, 7997.0)	(122, 8761.0)	(124, 9712.0)	(126, 10549.0)	(128, 10765.0)	(130, 10984.0)	(132, 11925.0)	(134, 13245.0)	(136, 14032.0)	(138, 14764.0)	(140, 15151.0)	(142, 18915.0)	(144, 29900.0)	(146, 0.0)	(148, 19200508.0)
